Ticker,Prezzo_Attuale,Target_Price,Upside_%,Strong_Buy,Buy,Hold,Sell,Strong_Sell,Totale_Analisti,Strong_Buy_%,Buy_%,Hold_%,Sell_%,Strong_Sell_%,Raccomandazione_Prevalente
GOOGL,319.63,326.57,2.17,12,45,9,0,0,66,18.2,68.2,13.6,0.0,0.0,BUY
GOOG,320.62,314.81,-1.81,13,44,9,0,0,66,19.7,66.7,13.6,0.0,0.0,BUY
MDB,405.94,430.23,5.98,6,24,10,0,1,41,14.6,58.5,24.4,0.0,2.4,BUY
OKTA,86.34,112.15,29.89,5,23,15,0,1,44,11.4,52.3,34.1,0.0,2.3,BUY
CLSK,14.49,23.16,59.83,3,8,1,0,0,12,25.0,66.7,8.3,0.0,0.0,BUY
AEVA,13.69,24.11,76.11,0,4,1,0,0,5,0.0,80.0,20.0,0.0,0.0,BUY
BA,202.54,243.91,20.43,3,17,5,0,1,26,11.5,65.4,19.2,0.0,3.8,BUY
BKH,71.15,75.00,5.41,1,2,1,0,0,4,25.0,50.0,25.0,0.0,0.0,BUY
UGI,37.64,43.00,14.24,0,3,0,0,0,3,0.0,100.0,0.0,0.0,0.0,BUY
APA,26.95,25.89,-3.92,1,5,18,4,1,29,3.4,17.2,62.1,13.8,3.4,HOLD
SU,44.68,44.87,0.42,4,8,8,0,1,21,19.0,38.1,38.1,0.0,4.8,BUY
SQM,63.06,59.62,-5.45,3,5,8,0,1,17,17.6,29.4,47.1,0.0,5.9,HOLD
OKE,74.89,88.79,18.56,5,8,7,0,0,20,25.0,40.0,35.0,0.0,0.0,BUY
BIIB,180.75,178.76,-1.10,2,14,19,0,0,35,5.7,40.0,54.3,0.0,0.0,HOLD
REGN,723.67,768.36,6.18,3,16,7,0,1,27,11.1,59.3,25.9,0.0,3.7,BUY
IONS,81.84,85.47,4.43,6,11,6,0,0,23,26.1,47.8,26.1,0.0,0.0,BUY
LOW,246.94,273.12,10.60,3,18,13,0,1,35,8.6,51.4,37.1,0.0,2.9,BUY
WMT,114.41,118.66,3.71,9,31,1,1,0,42,21.4,73.8,2.4,2.4,0.0,BUY
ROST,178.00,179.41,0.79,2,11,5,0,1,19,10.5,57.9,26.3,0.0,5.3,BUY
ALGN,155.00,184.07,18.76,2,7,7,0,1,17,11.8,41.2,41.2,0.0,5.9,BUY
